discipline,name,country,date_of_birth,qualification_time
50m Freestyle Men,KUKHALASHVILI Luka,GEO,2002-10-17,23.94
50m Freestyle Men,SPITERI Rudi,MLT,2002-04-16,23.95
50m Freestyle Men,MAMIKONYAN Vladimir,ARM,1996-07-15,24.01
50m Freestyle Men,ZIVANOVIC Uros,SRB,2005-06-30,24.02
50m Freestyle Men,GALEA Matthew,MLT,1996-05-24,24.09
50m Freestyle Men,ERADZE Luka,GEO,2002-06-27,24.89
50m Freestyle Men,UJKASHEJ Drini,ALB,2005-06-13,27.11
50m Freestyle Men,RUCI Ared,ALB,2002-11-13,27.69
50m Freestyle Men,MUJA Martin,KOS,2004-06-04,NA
50m Freestyle Men,RYAN Shane,IRL,1994-01-27,NA
100m Freestyle Men,POPOVICI David,ROU,2004-09-15,47.13
100m Freestyle Men,MIRESSI Alessandro,ITA,1998-10-02,47.45
100m Freestyle Men,GROUSSET Maxime,FRA,1999-09-24,47.52
100m Freestyle Men,NEMETH Nandor,HUN,1999-11-19,47.69
100m Freestyle Men,CECCON Thomas,ITA,2001-01-27,47.71
100m Freestyle Men,BARNA Andrej,SRB,1998-03-02,47.94
100m Freestyle Men,ZAZZERI Lorenzo,ITA,1994-08-09,47.96
100m Freestyle Men,DEAN Thomas,GBR,2000-05-02,48.06
100m Freestyle Men,WHITTLE Jacob,GBR,2004-09-25,48.11
100m Freestyle Men,SZABO Szebasztian,HUN,1996-03-11,48.19
100m Freestyle Men,RICHARDS Matthew,GBR,2002-12-17,48.23
100m Freestyle Men,MILAK Kristof,HUN,2000-02-20,48.24
100m Freestyle Men,FRIGO Manuel,ITA,1997-02-18,48.5
100m Freestyle Men,SALVAN Hadrien,FRA,1997-07-10,48.51
100m Freestyle Men,PIJNENBURG Stan,NED,1996-11-04,48.53
100m Freestyle Men,RIHOUX Charles,FRA,1998-03-07,48.58
100m Freestyle Men,VAZAIOS Andreas,GRE,1994-05-09,48.65
100m Freestyle Men,OSTROWSKI Karol,POL,1999-09-02,48.67
100m Freestyle Men,RIBEIRO Diogo Matos,POR,2004-10-27,48.72
100m Freestyle Men,MILDRED Edward,GBR,2003-04-10,48.77
100m Freestyle Men,GIGLER Heiko,AUT,1996-06-17,48.82
100m Freestyle Men,SEELIGER Bjoern,SWE,2000-01-11,48.84
100m Freestyle Men,HANSON Robin,SWE,2001-04-02,48.93
100m Freestyle Men,SHEVTSOV Sergii,UKR,1998-06-29,49.02
100m Freestyle Men,SIERADZKI Kamil,POL,2002-01-11,49.02
100m Freestyle Men,DE CELIS MONTALBAN Sergi,ESP,2000-01-18,49.07
100m Freestyle Men,GUTH Guillaume,FRA,2000-01-13,49.14
100m Freestyle Men,CHOWANIEC Mateusz,POL,2003-10-03,49.2
100m Freestyle Men,CHERUTI Meiron Amir,ISR,1997-10-19,49.23
100m Freestyle Men,MILJENIC Nikola,CRO,1998-05-19,49.25
100m Freestyle Men,MELADINIS Odyssefs,GRE,1990-04-05,49.27
100m Freestyle Men,"NANKOV Deniel",BUL,2003-01-02,49.33
100m Freestyle Men,LOKTEV Denis,ISR,2000-06-04,49.37
100m Freestyle Men,ACIN Nikola,SRB,1999-12-19,49.42
100m Freestyle Men,MCCUSKER Max,IRL,1999-09-11,49.42
100m Freestyle Men,DOMINGUEZ CALONGE Luis,ESP,2003-01-18,49.49
100m Freestyle Men,MESZAROS Daniel,HUN,2003-01-09,49.51
100m Freestyle Men,NESTERKIN Valentyn,UKR,2001-02-14,49.51
100m Freestyle Men,ZAITSEV Daniel,EST,1997-12-13,49.51
100m Freestyle Men,LIESS Nils,SUI,1996-08-24,49.58
100m Freestyle Men,LIE Markus,NOR,1995-06-21,49.62
100m Freestyle Men,ELIASSON Isak,SWE,1996-01-22,49.64
100m Freestyle Men,LINNYK Illya,UKR,2001-03-14,49.66
100m Freestyle Men,DUSA Matej,SVK,2000-07-10,49.67
100m Freestyle Men,COLL MARTI Carles,ESP,2001-10-15,49.69
100m Freestyle Men,BARSEGHYAN Artur,ARM,2002-03-29,49.78
100m Freestyle Men,BILAS Stergios-Marios,GRE,2001-11-21,49.78
100m Freestyle Men,NIKOLIC Uros,SRB,1996-07-20,49.78
100m Freestyle Men,SUNGAILA Tomas,LTU,1999-03-16,49.81
100m Freestyle Men,LIA Nicholas,NOR,2001-02-13,49.83
100m Freestyle Men,MOLLA YANES Mario,ESP,2002-04-13,49.88
100m Freestyle Men,LENTZ Frederik Riedel,DEN,2001-10-25,49.91
100m Freestyle Men,"NAVIKONIS Tomas",LTU,2003-04-12,49.91
100m Freestyle Men,LIUKKONEN Ari-Pekka,FIN,1989-02-09,49.99
100m Freestyle Men,AHTIAINEN Alex,EST,2001-01-27,50.06
100m Freestyle Men,KHNYKIN Oleksii,UKR,1999-05-02,50.09
100m Freestyle Men,PAPADOPOULOS Christos,GRE,1997-02-01,50.09
100m Freestyle Men,"NAMIR Daniel",ISR,1997-12-08,50.16
100m Freestyle Men,STOICA-CONSTANTIN George,ROU,2000-02-12,50.21
100m Freestyle Men,LINDEBLAD Malthe,DEN,2001-01-01,50.34
100m Freestyle Men,BRANDENBURGER Pit,LUX,1995-08-06,50.41
100m Freestyle Men,DINU Patrick-Sebastian,ROU,2005-06-12,50.45
100m Freestyle Men,FABIANI Remi,LUX,2001-11-13,50.47
100m Freestyle Men,PERSSON Elias,SWE,2002-04-03,50.51
100m Freestyle Men,MEEUS Elias,BEL,2003-01-30,50.53
100m Freestyle Men,KARTAVI Martin,ISR,2004-03-09,50.61
100m Freestyle Men,POWELL Robert,IRL,2000-01-28,50.81
100m Freestyle Men,YANCHEV Yordan,BUL,2001-08-30,50.92
100m Freestyle Men,BJELAJAC Nikola,BIH,1998-05-12,50.97
100m Freestyle Men,GERGELY Mihai,ROU,2003-01-26,51.24
100m Freestyle Men,MESETOVIC Adi,BIH,1997-12-31,51.25
100m Freestyle Men,KUKHALASHVILI Luka,GEO,2002-10-17,51.49
100m Freestyle Men,ZIVANOVIC Uros,SRB,2005-06-30,51.52
100m Freestyle Men,STATKEVICIUS Simon E,ISL,2003-12-24,51.77
100m Freestyle Men,LOMERO ARENAS Tomas,AND,2001-07-05,51.86
100m Freestyle Men,LOMERO ARENAS Bernat,AND,1997-12-28,52.07
100m Freestyle Men,KERMANS Ronens,LAT,2004-04-15,52.55
100m Freestyle Men,GALEA Matthew,MLT,1996-05-24,53.03
100m Freestyle Men,SPITERI Rudi,MLT,2002-04-16,53.03
100m Freestyle Men,GARGOVIC Ado,MNE,1998-07-15,53.56
100m Freestyle Men,STAFRACE Raoul,MLT,1996-07-16,53.86
100m Freestyle Men,MAMIKONYAN Vladimir,ARM,1996-07-15,54.68
100m Freestyle Men,MUJA Martin,KOS,2004-06-04,NA
200m Freestyle Men,POPOVICI David,ROU,2004-09-15,103.21
200m Freestyle Men,DEAN Thomas,GBR,2000-05-02,104.22
200m Freestyle Men,AUBOECK Felix,AUT,1996-12-19,105.11
200m Freestyle Men,RAPSYS Danas,LTU,1995-05-21,105.32
200m Freestyle Men,MAERTENS Lukas,GER,2001-12-27,105.44
200m Freestyle Men,MILAK Kristof,HUN,2000-02-20,105.74
200m Freestyle Men,DJAKOVIC Antonio,SUI,2002-10-08,105.77
200m Freestyle Men,ZIRK Kregor,EST,1999-07-03,106.1
200m Freestyle Men,NEMETH Nandor,HUN,1999-11-19,106.19
200m Freestyle Men,DE TULLIO Marco,ITA,2000-09-21,106.29
200m Freestyle Men,RICHARDS Matthew,GBR,2002-12-17,106.35
200m Freestyle Men,HANSON Robin,SWE,2001-04-02,106.5
200m Freestyle Men,MARTON Richard,HUN,1999-10-07,106.52
200m Freestyle Men,LOKTEV Denis,ISR,2000-06-04,106.64
200m Freestyle Men,DI COLA Stefano,ITA,1998-12-11,106.67
200m Freestyle Men,SALVAN Hadrien,FRA,1997-07-10,106.76
200m Freestyle Men,VAZAIOS Andreas,GRE,1994-05-09,106.94
200m Freestyle Men,MEGLI Filippo,ITA,1997-05-10,107.09
200m Freestyle Men,LIESS Nils,SUI,1996-08-24,107.16
200m Freestyle Men,FUCHS Roman,FRA,1998-01-14,107.2
200m Freestyle Men,GALOSSI Lorenzo,ITA,2006-05-25,107.42
200m Freestyle Men,MITYUKOV Roman,SUI,2000-07-30,107.44
200m Freestyle Men,ZELLMANN Poul,GER,1995-09-02,107.45
200m Freestyle Men,KROON Luc,NED,2001-08-30,107.48
200m Freestyle Men,MARKOS Dimitrios,GRE,2001-09-13,107.72
200m Freestyle Men,YEBBA Wissam-Amazigh,FRA,2000-04-08,107.75
200m Freestyle Men,CHOWANIEC Mateusz,POL,2003-10-03,107.78
200m Freestyle Men,WHITTLE Jacob,GBR,2004-09-25,107.85
200m Freestyle Men,"NAMIR Daniel",ISR,1997-12-08,107.86
200m Freestyle Men,SOLOVEYCHIK Bar,ISR,2000-08-15,108
200m Freestyle Men,TESIC Enzo,FRA,2000-01-07,108.02
200m Freestyle Men,HENVEAUX Lucas,BEL,2000-09-25,108.3
200m Freestyle Men,DOMINGUEZ CALONGE Luis,ESP,2003-01-18,108.33
200m Freestyle Men,"NAVIKONIS Tomas",LTU,2003-04-12,108.46
200m Freestyle Men,HANSEN Andreas,DEN,2000-08-25,108.6
200m Freestyle Men,MESZAROS Daniel,HUN,2004-09-27,108.89
200m Freestyle Men,DE CELIS MONTALBAN Sergi,ESP,2000-01-18,108.97
200m Freestyle Men,MITSIN Petar,BUL,2005-08-19,109.1
200m Freestyle Men,BOSKAN Saso,SLO,2002-12-12,109.15
200m Freestyle Men,MC GEEVER Finn,IRL,2000-10-20,109.19
200m Freestyle Men,JOENTVEDT Jon,NOR,2003-07-28,109.43
200m Freestyle Men,GADGAARD Mikkel,DEN,1999-05-03,109.53
200m Freestyle Men,SUNGAILA Tomas,LTU,1999-03-16,110.25
200m Freestyle Men,MILDRED Edward,GBR,2003-04-10,110.32
200m Freestyle Men,YANCHEV Yordan,BUL,2001-08-30,110.4
200m Freestyle Men,MANNES Max,LUX,1997-11-19,110.68
200m Freestyle Men,BRANDENBURGER Pit,LUX,1995-08-06,110.72
200m Freestyle Men,BEN SHITRIT Eitan,ISR,2003-06-02,110.73
200m Freestyle Men,STAMOU Konstantinos Emma,GRE,2003-07-10,110.97
200m Freestyle Men,POWELL Robert,IRL,2000-01-28,111.1
200m Freestyle Men,JABLCNIK Frantisek,SVK,2003-10-23,111.25
200m Freestyle Men,HOLMQUIST Marcus,SWE,2000-02-05,111.87
200m Freestyle Men,KUKHALASHVILI Luka,GEO,2002-10-17,112.43
200m Freestyle Men,"NAUMENKO Vadym",UKR,2003-01-23,112.92
200m Freestyle Men,SENICA PAVLETIC Primoz,SLO,2001-01-14,112.98
200m Freestyle Men,CACHIA Dylan,MLT,2001-09-15,113.74
200m Freestyle Men,GARGOVIC Ado,MNE,1998-07-15,116.45
200m Freestyle Men,LAVDANITI Zhulian,ALB,2003-03-17,117.91
400m Freestyle Men,MAERTENS Lukas,GER,2001-12-27,221.6
400m Freestyle Men,AUBOECK Felix,AUT,1996-12-19,223.58
400m Freestyle Men,MUEHLLEITNER Henning,GER,1997-07-15,223.67
400m Freestyle Men,DE TULLIO Marco,ITA,2000-09-21,224.14
400m Freestyle Men,DETTI Gabriele,ITA,1994-08-29,224.35
400m Freestyle Men,RAPSYS Danas,LTU,1995-05-21,225.39
400m Freestyle Men,DJAKOVIC Antonio,SUI,2002-10-08,225.82
400m Freestyle Men,GALOSSI Lorenzo,ITA,2006-05-25,225.93
400m Freestyle Men,CIAMPI Matteo,ITA,1996-11-03,226.25
400m Freestyle Men,CHRISTIANSEN Henrik,NOR,1996-10-09,226.87
400m Freestyle Men,ZIRK Kregor,EST,1999-07-03,227.05
400m Freestyle Men,BOUCHAUT Joris,FRA,1995-06-27,227.37
400m Freestyle Men,SCHWARZ Sven,GER,2002-01-31,227.7
400m Freestyle Men,JOHANSSON Victor,SWE,1998-09-13,227.9
400m Freestyle Men,ZOMBORI Gabor,HUN,2002-10-08,227.99
400m Freestyle Men,BIRD Kieran,GBR,1999-09-02,228.55
400m Freestyle Men,MARKOS Dimitrios,GRE,2001-09-13,228.72
400m Freestyle Men,JOENTVEDT Jon,NOR,2003-07-28,228.94
400m Freestyle Men,ROMANCHUK Mykhaylo,UKR,1996-08-07,229.7
400m Freestyle Men,SOLOVEYCHIK Bar,ISR,2000-08-15,229.87
400m Freestyle Men,GADGAARD Mikkel,DEN,1999-05-03,229.93
400m Freestyle Men,HOLLO Balazs,HUN,1999-02-10,230.06
400m Freestyle Men,CHMIELEWSKI Krzysztof,POL,2004-11-18,230.61
400m Freestyle Men,DOMINGUEZ CALONGE Luis,ESP,2003-01-18,230.83
400m Freestyle Men,YANCHEV Yordan,BUL,2001-08-30,231.79
400m Freestyle Men,GARACH BENITO Carlos,ESP,2004-07-25,231.81
400m Freestyle Men,BOSKAN Saso,SLO,2002-12-12,232.24
400m Freestyle Men,KROON Luc,NED,2001-08-30,232.54
400m Freestyle Men,MESZAROS Daniel,HUN,2004-09-27,232.57
400m Freestyle Men,JOLY Damien,FRA,1992-06-04,232.94
400m Freestyle Men,ROMANO Yoav,ISR,2004-06-13,233.35
400m Freestyle Men,GEMOV Ondrej,CZE,1999-06-12,233.8
400m Freestyle Men,HANSON Robin,SWE,2001-04-02,234.48
400m Freestyle Men,"NAGY Richard",SVK,1993-03-09,237.78
400m Freestyle Men,MC GEEVER Finn,IRL,2000-10-20,238.84
400m Freestyle Men,BIANCHI Loris,SMR,2001-08-01,239.54
400m Freestyle Men,CACHIA Dylan,MLT,2001-09-15,240.17
400m Freestyle Men,SENICA PAVLETIC Primoz,SLO,2001-01-14,240.18
400m Freestyle Men,CUSTER Liam,IRL,2004-04-10,241.94
400m Freestyle Men,BRANDENBURGER Pit,LUX,1995-08-06,242.79
400m Freestyle Men,ALEKSI Franc,ALB,1998-11-09,251.45
400m Freestyle Men,POPOVICI David,ROU,2004-09-15,NA
400m Freestyle Men,WILLIAMS Brodie,GBR,1999-03-18,NA
800m Freestyle Men,WELLBROCK Florian,GER,1997-08-19,459.63
800m Freestyle Men,ROMANCHUK Mykhaylo,UKR,1996-08-07,460.05
800m Freestyle Men,PALTRINIERI Gregorio,ITA,1994-09-05,461.19
800m Freestyle Men,MAERTENS Lukas,GER,2001-12-27,461.43
800m Freestyle Men,DETTI Gabriele,ITA,1994-08-29,466.08
800m Freestyle Men,GALOSSI Lorenzo,ITA,2006-05-25,466.28
800m Freestyle Men,SCHWARZ Sven,GER,2002-01-31,466.65
800m Freestyle Men,JOLY Damien,FRA,1992-06-04,467.46
800m Freestyle Men,CHRISTIANSEN Henrik,NOR,1996-10-09,467.99
800m Freestyle Men,KLEMET Oliver,GER,2002-03-18,468.96
800m Freestyle Men,JOHANSSON Victor,SWE,1998-09-13,469.14
800m Freestyle Men,DE TULLIO Luca,ITA,2003-09-21,469.19
800m Freestyle Men,JOENTVEDT Jon,NOR,2003-07-28,472.21
800m Freestyle Men,BOUCHAUT Joris,FRA,1995-06-27,472.85
800m Freestyle Men,MARKOS Dimitrios,GRE,2001-09-13,473.07
800m Freestyle Men,SOLOVEYCHIK Bar,ISR,2000-08-15,475.48
800m Freestyle Men,BIRD Kieran,GBR,1999-09-02,475.95
800m Freestyle Men,CHMIELEWSKI Krzysztof,POL,2004-11-18,476.74
800m Freestyle Men,GARACH BENITO Carlos,ESP,2004-07-25,476.95
800m Freestyle Men,YANCHEV Yordan,BUL,2001-08-30,481.98
800m Freestyle Men,CUSTER Liam,IRL,2004-04-10,486.17
800m Freestyle Men,ROMANO Yoav,ISR,2004-06-13,487.06
800m Freestyle Men,BIANCHI Loris,SMR,2001-08-01,498.04
800m Freestyle Men,ALEKSI Franc,ALB,1998-11-09,NA
1500m Freestyle Men,PALTRINIERI Gregorio,ITA,1994-09-05,872.8
1500m Freestyle Men,WELLBROCK Florian,GER,1997-08-19,876.94
1500m Freestyle Men,ROMANCHUK Mykhaylo,UKR,1996-08-07,879.89
1500m Freestyle Men,MAERTENS Lukas,GER,2001-12-27,880.28
1500m Freestyle Men,KLEMET Oliver,GER,2002-03-18,890.43
1500m Freestyle Men,JOLY Damien,FRA,1992-06-04,893.47
1500m Freestyle Men,ACERENZA Domenico,ITA,1995-01-19,893.84
1500m Freestyle Men,JOHANSSON Victor,SWE,1998-09-13,898.59
1500m Freestyle Men,DE TULLIO Luca,ITA,2003-09-21,900.36
1500m Freestyle Men,GARACH BENITO Carlos,ESP,2004-07-25,900.9
1500m Freestyle Men,BETLEHEM David,HUN,2003-09-04,902.28
1500m Freestyle Men,CHRISTIANSEN Henrik,NOR,1996-10-09,905.19
1500m Freestyle Men,BOUCHAUT Joris,FRA,1995-06-27,906.28
1500m Freestyle Men,MARKOS Dimitrios,GRE,2001-09-13,911.47
1500m Freestyle Men,ROMANO Yoav,ISR,2004-06-13,922.04
1500m Freestyle Men,CUSTER Liam,IRL,2004-04-10,941.17
1500m Freestyle Men,BIANCHI Loris,SMR,2001-08-01,956.47
50m Backstroke Men,CHRISTOU Apostolos,GRE,1996-11-01,24.39
50m Backstroke Men,CECCON Thomas,ITA,2001-01-27,24.46
50m Backstroke Men,MASIUK Ksawery,POL,2004-12-17,24.48
50m Backstroke Men,BRAUNSCHWEIG Ole,GER,1997-11-15,24.58
50m Backstroke Men,LAMBERTI Michele,ITA,2000-11-03,24.75
50m Backstroke Men,NDOYE BROUARD Yohann,FRA,2000-11-29,24.79
50m Backstroke Men,POLEWKA Tomasz,POL,1994-08-05,24.87
50m Backstroke Men,TOMAC Mewen,FRA,2001-09-11,24.87
50m Backstroke Men,LEYTROVSKIY Michael,ISR,1999-08-15,24.96
50m Backstroke Men,STEFANI' Simone,ITA,2000-06-08,25
50m Backstroke Men,SEGURA GUTIERREZ Juan Fr,ESP,1994-08-18,25.09
50m Backstroke Men,SEELIGER Bjoern,SWE,2000-01-11,25.1
50m Backstroke Men,FRANKE Pawel,POL,1999-10-05,25.16
50m Backstroke Men,MORA Lorenzo,ITA,1998-09-30,25.17
50m Backstroke Men,SPANOUDAKIS Georgios,GRE,1994-08-05,25.19
50m Backstroke Men,CEJKA Jan,CZE,2001-05-29,25.2
50m Backstroke Men,MARSHALL Jonathon C,GBR,2004-11-15,25.21
50m Backstroke Men,FRANTA Tomas,CZE,1998-04-18,25.22
50m Backstroke Men,REITSHAMMER Bernhard,AUT,1994-06-17,25.29
50m Backstroke Men,STOKOWSKI Kacper,POL,1999-01-06,25.29
50m Backstroke Men,SOMERSET Sebastian,GBR,2001-01-15,25.3
50m Backstroke Men,ANDREOPOULOS Theodoros,GRE,2002-02-10,25.31
50m Backstroke Men,DANZIGER Inbar,ISR,2004-01-01,25.32
50m Backstroke Men,MAKRYGIANNIS Evangelos,GRE,2000-06-18,25.32
50m Backstroke Men,MITYUKOV Roman,SUI,2000-07-30,25.34
50m Backstroke Men,BUCHER Simon,AUT,2000-05-23,25.37
50m Backstroke Men,ANGHEL Andrei Mircea,ROU,1998-07-17,25.42
50m Backstroke Men,MARAANA Adam,ISR,2003-07-07,25.44
50m Backstroke Men,ZAITSEV Daniel,EST,1997-12-13,25.44
50m Backstroke Men,GARCIA SAIZ Nicolas,ESP,2002-06-18,25.5
50m Backstroke Men,COSTA Joao Nogueira,POR,2001-08-06,25.51
50m Backstroke Men,GERCHIK David,ISR,2001-02-20,25.52
50m Backstroke Men,KOVACS Benedek,HUN,1998-05-18,25.53
50m Backstroke Men,ADAM Jonathon,GBR,2002-01-06,25.63
50m Backstroke Men,ZHELTYAKOV Oleksandr,UKR,2005-11-15,25.72
50m Backstroke Men,HERLEM Antoine,FRA,1999-05-19,25.9
50m Backstroke Men,SANTOS Francisco Rogerio,POR,1998-09-05,25.91
50m Backstroke Men,LEVTEROV Kaloyan,BUL,2003-02-08,26.04
50m Backstroke Men,IAKOVIDIS Filippos,CYP,1998-04-14,26.15
50m Backstroke Men,FABIANI Remi,LUX,2001-11-13,26.17
50m Backstroke Men,LIE Markus,NOR,1995-06-21,26.2
50m Backstroke Men,LENTZ Frederik Riedel,DEN,2001-10-25,26.27
50m Backstroke Men,GRIGAITIS Erikas,LTU,2002-12-21,26.32
50m Backstroke Men,AHTIAINEN Alex,EST,2001-01-27,26.42
50m Backstroke Men,HOFF Oskar,SWE,1998-12-13,26.77
50m Backstroke Men,FERS ERZEN Anze,SLO,1999-03-03,27.57
50m Backstroke Men,KOKKO Olli,FIN,1994-04-18,27.79
50m Backstroke Men,WAREING Thomas,MLT,1999-11-09,27.99
50m Backstroke Men,RUCI Ared,ALB,2002-11-13,30.57
50m Backstroke Men,MUJA Martin,KOS,2004-06-04,NA
50m Backstroke Men,RYAN Shane,IRL,1994-01-27,NA
50m Backstroke Men,SHKURTI Kevin,ALB,2004-02-25,NA
100m Backstroke Men,CECCON Thomas,ITA,2001-01-27,51.6
100m Backstroke Men,CHRISTOU Apostolos,GRE,1996-11-01,52.09
100m Backstroke Men,NDOYE BROUARD Yohann,FRA,2000-11-29,52.5
100m Backstroke Men,MASIUK Ksawery,POL,2004-12-17,52.58
100m Backstroke Men,TOMAC Mewen,FRA,2001-09-11,52.86
100m Backstroke Men,LEYTROVSKIY Michael,ISR,1999-08-15,53.84
100m Backstroke Men,MITYUKOV Roman,SUI,2000-07-30,53.87
100m Backstroke Men,COSTA Joao Nogueira,POR,2001-08-06,53.88
100m Backstroke Men,BRAUNSCHWEIG Ole,GER,1997-11-15,53.94
100m Backstroke Men,ZHELTYAKOV Oleksandr,UKR,2005-11-15,53.98
100m Backstroke Men,STOKOWSKI Kacper,POL,1999-01-06,53.99
100m Backstroke Men,CEJKA Jan,CZE,2001-05-29,54.03
100m Backstroke Men,MAKRYGIANNIS Evangelos,GRE,2000-06-18,54.06
100m Backstroke Men,RYAN Shane,IRL,1994-01-27,54.11
100m Backstroke Men,LAMBERTI Michele,ITA,2000-11-03,54.14
100m Backstroke Men,KOVACS Benedek,HUN,1998-05-18,54.18
100m Backstroke Men,FRANTA Tomas,CZE,1998-04-18,54.21
100m Backstroke Men,SANTOS Francisco Rogerio,POR,1998-09-05,54.35
100m Backstroke Men,RESTIVO Matteo,ITA,1994-11-04,54.39
100m Backstroke Men,MARSHALL Jonathon C,GBR,2004-11-15,54.42
100m Backstroke Men,MORA Lorenzo,ITA,1998-09-30,54.44
100m Backstroke Men,WILLIAMS Brodie,GBR,1999-03-18,54.48
100m Backstroke Men,MARAANA Adam,ISR,2003-07-07,54.54
100m Backstroke Men,ADAM Jonathon,GBR,2002-01-06,54.58
100m Backstroke Men,SOMERSET Sebastian,GBR,2001-01-15,54.86
100m Backstroke Men,HERLEM Antoine,FRA,1999-05-19,54.88
100m Backstroke Men,SPANOUDAKIS Georgios,GRE,1994-08-05,54.91
100m Backstroke Men,GARCIA SAIZ Nicolas,ESP,2002-06-18,54.97
100m Backstroke Men,DANZIGER Inbar,ISR,2004-01-01,55.01
100m Backstroke Men,LELLE Armin Evert,EST,1999-06-21,55.21
100m Backstroke Men,GRIGAITIS Erikas,LTU,2002-12-21,55.22
100m Backstroke Men,POLEWKA Tomasz,POL,1994-08-05,55.24
100m Backstroke Men,LIE Markus,NOR,1995-06-21,55.3
100m Backstroke Men,LEVTEROV Kaloyan,BUL,2003-02-08,55.44
100m Backstroke Men,MIRA ALBALADEJO Diego,ESP,2001-09-05,55.52
100m Backstroke Men,FRANKE Pawel,POL,1999-10-05,55.53
100m Backstroke Men,BOSKAN Saso,SLO,2002-12-12,55.57
100m Backstroke Men,GERCHIK David,ISR,2001-02-20,55.66
100m Backstroke Men,ANDREOPOULOS Theodoros,GRE,2002-02-10,55.75
100m Backstroke Men,MANNES Max,LUX,1997-11-19,55.83
100m Backstroke Men,LIESS Nils,SUI,1996-08-24,56.13
100m Backstroke Men,ANGHEL Andrei Mircea,ROU,1998-07-17,56.53
100m Backstroke Men,SENICA PAVLETIC Primoz,SLO,2001-01-14,56.77
100m Backstroke Men,CACHIA Dylan,MLT,2001-09-15,59.92
100m Backstroke Men,MUJA Martin,KOS,2004-06-04,NA
100m Backstroke Men,RUCI Ared,ALB,2002-11-13,NA
100m Backstroke Men,SHKURTI Kevin,ALB,2004-02-25,NA
200m Backstroke Men,GREENBANK Luke,GBR,1997-09-17,114.43
200m Backstroke Men,TELEGDY Adam,HUN,1995-11-01,116.15
200m Backstroke Men,WILLIAMS Brodie,GBR,1999-03-18,116.16
200m Backstroke Men,MITYUKOV Roman,SUI,2000-07-30,116.33
200m Backstroke Men,GARCIA SAIZ Nicolas,ESP,2002-06-18,116.35
200m Backstroke Men,TOMAC Mewen,FRA,2001-09-11,116.35
200m Backstroke Men,NDOYE BROUARD Yohann,FRA,2000-11-29,116.37
200m Backstroke Men,HERLEM Antoine,FRA,1999-05-19,116.42
200m Backstroke Men,RESTIVO Matteo,ITA,1994-11-04,116.59
200m Backstroke Men,CEJKA Jan,CZE,2001-05-29,116.66
200m Backstroke Men,MAERTENS Lukas,GER,2001-12-27,116.97
200m Backstroke Men,SANTOS Francisco Rogerio,POR,1998-09-05,117.06
200m Backstroke Men,KOVACS Benedek,HUN,1998-05-18,117.12
200m Backstroke Men,ZHELTYAKOV Oleksandr,UKR,2005-11-15,117.18
200m Backstroke Men,MORA Lorenzo,ITA,1998-09-30,117.35
200m Backstroke Men,KOS Hubert,HUN,2003-03-28,117.64
200m Backstroke Men,COSTA Joao Nogueira,POR,2001-08-06,118.58
200m Backstroke Men,LEVTEROV Kaloyan,BUL,2003-02-08,118.96
200m Backstroke Men,SISKOS Apostolos,GRE,2005-06-24,118.96
200m Backstroke Men,MAKRYGIANNIS Evangelos,GRE,2000-06-18,119.25
200m Backstroke Men,GERCHIK David,ISR,2001-02-20,119.74
200m Backstroke Men,MATTENET Emilien,FRA,2000-11-08,119.79
200m Backstroke Men,SENICA PAVLETIC Primoz,SLO,2001-01-14,119.79
200m Backstroke Men,GRIGAITIS Erikas,LTU,2002-12-21,119.92
200m Backstroke Men,"NAUMENKO Vadym",UKR,2003-01-23,120.3
200m Backstroke Men,FERS ERZEN Anze,SLO,1999-03-03,120.35
200m Backstroke Men,MIRA ALBALADEJO Diego,ESP,2001-09-05,120.45
200m Backstroke Men,DANZIGER Inbar,ISR,2004-01-01,120.91
200m Backstroke Men,FRANTA Tomas,CZE,1998-04-18,123.19
200m Backstroke Men,MARAANA Adam,ISR,2003-07-07,123.67
200m Backstroke Men,LAVDANITI Zhulian,ALB,2003-03-17,126.77
200m Backstroke Men,CHMIELEWSKI Michal,POL,2004-11-18,127.07
200m Backstroke Men,SHKURTI Kevin,ALB,2004-02-25,NA
200m Backstroke Men,WILBY Mason J,GBR,1999-11-18,NA
50m Breaststroke Men,MARTINENGHI Nicolo',ITA,1999-08-01,26.48
50m Breaststroke Men,KOZAKIEWICZ Jan,POL,1996-02-24,26.82
50m Breaststroke Men,CERASUOLO Simone,ITA,2003-06-22,26.85
50m Breaststroke Men,REITSHAMMER Bernhard,AUT,1994-06-17,26.94
50m Breaststroke Men,SCOZZOLI Fabio,ITA,1988-08-03,26.97
50m Breaststroke Men,MATZERATH Lucas,GER,2000-05-03,26.99
50m Breaststroke Men,PITSHUGIN Kristian,ISR,2001-07-18,27.07
50m Breaststroke Men,WILBY James,GBR,1993-11-12,27.16
50m Breaststroke Men,POGGIO Federico,ITA,1998-04-24,27.23
50m Breaststroke Men,STEVENS Peter John,SLO,1995-06-01,27.32
50m Breaststroke Men,SIDLAUSKAS Andrius,LTU,1997-04-06,27.39
50m Breaststroke Men,LIA Nicholas,NOR,2001-02-13,27.41
50m Breaststroke Men,BRATHEN Joergen,NOR,1995-04-05,27.54
50m Breaststroke Men,ASPOUGALIS Arkadios-Geor,GRE,2001-02-21,27.55
50m Breaststroke Men,BUTLER Gregory,GBR,2000-12-31,27.59
